#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A189D7
#Date Time: 2024-04-12 11:13:26.820
#Start: 10 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 59.9292 V
#Offset: 0.000675089 V
#Relative: no
#Channel: Channel 2
#Range: 59.9881 V
#Offset: -0.00209507 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,0.02438876115956482,18.66355865651589,-0.3931796695128753
10.58424294923851,0.02882480498460174,18.65223738317751,-0.4299720074928501
11.2026198808505,0.007129244133436722,18.66811770007525,-0.4276091718589043
11.85712504868911,0.003009328132210248,18.66881261439563,-0.4335067895484883
12.54986921948269,0.009103455615245263,18.66170655038904,-0.4335699057247169
13.28308648001751,0.01767116751585603,18.65221033862878,-0.5409148061407052
14.05914144202507,0.00713254611309814,18.66049088978233,-0.5396146014174048
14.88053686801006,0.01637466972824137,18.65153033786003,-0.5011529296428705
15.74992174261191,0.005278158958028971,18.66101274974636,-0.6096309508686133
16.67009981552986,0.02887782469301768,18.63898887301473,-0.5656128420170319
17.64403864356239,0.009798789126487422,18.65339535429942,-0.6257885558220408
18.6748791609217,-0.003189364648326619,18.66675822183283,-0.7094910914017447
19.76594580868665,-0.002449929328924145,18.6661267711596,-0.6958149300264438
20.92075725606221,0.01492409348919026,18.64674683296759,-0.7147245851543502
22.14303774802068,0.02166303946266216,18.64076431794204,-0.830920058209685
23.436729115921,0.01117366165115412,18.64878113390963,-0.8360905144249671
24.80600348983997,0.01447421491507252,18.64948254539866,-0.9048094591674314
26.25527675361243,0.009961981748904961,18.65278995548369,-0.9832574632793367
27.78922278597281,0.01513024734267531,18.64530352072782,-0.950073657931398
29.41278853372508,0.002595200925988497,18.65853305256275,-1.075544845394404
31.13120996555226,0.01307420917021579,18.64724673623127,-1.125180818086832
32.95002895791605,0.01308475818136344,18.6467521966751,-1.200662633473286
34.87511116750276,0.01897859585102658,18.639017728176,-1.253839424147102
36.91266494785499,0.01434547046387643,18.64456621754674,-1.286194493272692
39.06926137119375,0.01635982529296907,18.64013660023173,-1.413419640935214
41.35185542000135,0.008024176612497512,18.65008427011574,-1.498397782213672
43.76780841670799,0.0203814827775949,18.63503671533956,-1.505464564284452
46.3249117638163,0.0182311848640212,18.63787891293149,-1.641843065450558
49.03141207102686,0.002542891929487065,18.65177256051586,-1.745507830457922
51.8960377503974,0.01885911760552908,18.63632717511821,-1.869667324279803
54.92802716530586,0.01995069441839754,18.63235105820257,-2.016979786828216
58.13715842399698,0.02194308573101444,18.63076786196678,-2.116426338059568
61.53378091379528,0.02936468943878229,18.62270701710334,-2.260961504992096
65.12884867768241,0.01987587389581356,18.63151769239537,-2.39619875384362
68.93395574087819,0.03277684555405892,18.61677974536907,-2.426079771956829
72.96137350135093,0.009526560526256871,18.63952663511924,-2.659856276778054
77.22409030484302,0.003651673985042459,18.64611285636233,-2.802648702243857
81.73585333203927,0.02284829469685393,18.62424153654601,-2.947108180607442
86.51121293296302,0.01036068640973648,18.63516914242399,-3.048553162637546
91.56556955157842,0.02457784930808207,18.61781242173592,-3.322897526276734
96.91522339193011,0.009279584760808602,18.62896545739009,-3.401597243773651
102.5774269859912,0.01804711441586005,18.62084898868178,-3.619822870210825
108.5704408327505,0.01576926855674769,18.62086714121457,-3.932488565166645
114.9135922879754,0.005235612733747379,18.62603364654658,-4.138312203501645
121.6273378945674,0.003965461863563873,18.62506582201124,-4.32850300844305
128.7333293545225,0.01680709009508328,18.61159614666469,-4.537413324744676
136.2544833552602,0.01591234281087011,18.60622360954445,-4.811907397788765
144.2150554755048,0.01354566220993741,18.60917565611425,-5.163275861492508
152.6407184090652,0.01018426313728196,18.60834676497494,-5.436070074054342
161.5586447587848,0.02722890991057712,18.58279272939647,-5.836735394525299
170.9975946676697,0.01197472619149761,18.5936969427507,-6.185883824130359
180.9880085698029,0.0260804876435121,18.57468723699094,-6.389344030762373
191.5621053601653,0.021418337699267,18.57121062189489,-6.866202294354224
202.7539862999612,0.03160875290205743,18.55572371787743,-7.301351541335663
214.5997449925365,0.01263188565433856,18.56706218278821,-7.52066986672159
227.1375837845639,0.008689911837609912,18.56024885182578,-8.089889536421126
240.4079369678839,0.01201613363313015,18.55205672266168,-8.570661831010327
254.4536011793301,0.01142779869831389,18.53541352388683,-9.0175922507145
269.3198734190672,0.03630639090974988,18.49873847732074,-9.568865585855505
285.0546971325567,0.01418926524474527,18.51099258948794,-10.04487946971105
301.7088168272581,0.01447886923629594,18.49152373514686,-10.69683425033381
319.3359417227003,0.005479595237545602,18.49002054301826,-11.22387341644152
337.9929189616926,0.007143722084301632,18.46789348543065,-11.77595134432839
357.7399169412834,0.02734595738866254,18.42336630491816,-12.54863276018881
378.6406193546952,0.02265498369579966,18.41233219598387,-13.25786831348455
400.7624305700231,0.01231235804480251,18.39609573229402,-13.9585833622929
424.1766930080449,0.01910054546922509,18.36198806976644,-14.81104099267645
448.9589172201711,0.009700868783152572,18.33572101979734,-15.53177052335177
475.1890254085353,0.03157712647915044,18.28154221978942,-16.45059348381453
502.9516091735803,0.01801452919187222,18.26292268534816,-17.4155976575025
532.3362023203628,0.01844719348684873,18.22304735589422,-18.32596334378392
563.4375696033708,0.0442777273470841,18.15451344474269,-19.16104655719294
596.3560123410552,0.02439834482799313,18.11296632513145,-20.2841469319701
631.1976918856806,0.008702314516365481,18.07448665363708,-21.51353957219546
668.0749719916639,0.01595345666959151,18.01927541152855,-22.71329553854557
707.1067811865476,0.03434166533964209,17.92712112115357,-23.76621800879223
748.4189963132453,0.03652496112486734,17.85192850404543,-24.88765927707556
792.1448484804624,0.01491037746087388,17.78565532219742,-26.32404719579697
838.4253527304941,0.0335707764536694,17.68760239422814,-27.51712660107539
887.4097628100533,0.007030716678343816,17.62343498461005,-29.00803209242868
939.2560525107727,0.02308189717243022,17.49633254805282,-30.53262357338838
994.1314251316742,0.02396593059136404,17.3848197048069,-31.83529106409317
1052.212852706634,0.0269928652429666,17.25153213318731,-33.39953493561448
1113.687646735833,0.01574869836046525,17.14104331246364,-35.12535761557404
1178.754062261777,0.01070014046465606,16.98383443341493,-36.7561318653649
1247.621937238045,0.05958346136948699,16.79197320353582,-38.43380068885307
1320.513369252708,0.04160061037747928,16.64506728408551,-40.02924874757363
1397.663431788814,0.0305907756488772,16.47040814878734,-41.68463847316038
1479.320932331926,0.04806910379333504,16.26213996329592,-43.67443659947455
1565.749214769513,0.04601802183452652,16.07096807406351,-45.3452414393508
1657.227008669993,0.03059050685950474,15.86925682660606,-47.20695502325086
1754.049328180301,0.01725504574126082,15.63466667983446,-48.96061380967243
1856.528423440887,0.08411389293345753,15.34128566478512,-50.8406900234466
1964.994787586509,0.06160342047337718,15.11623417517421,-52.84835649567313
2079.798222580294,0.03125539689366812,14.86442566587538,-54.52581734195518
2201.308967318424,0.04997176975943179,14.58343600670012,-56.55768135293242
2329.918891643553,0.05127947301131154,14.28134272101843,-58.20950918484242
2466.042760117587,0.07062296967071699,13.96870459087993,-60.25655534443392
2610.119569629524,0.05440049784202511,13.65560750037726,-62.29042324920635
2762.613965152073,0.08833890321285452,13.29702846425671,-64.34589532149602
2924.017738212866,0.1047949291712309,12.95735145914386,-65.84726922383891
3094.851412912785,0.07852059617484612,12.6438963065205,-67.73080268563427
3275.665924606298,0.09307183136194186,12.24965191430714,-69.74138812405255
3467.044396657504,0.07407988114988522,11.91862867272715,-71.45966884220002
3669.604021001906,0.1425413939203914,11.49918009327454,-73.41965098145704
3883.998048578666,0.1000134590559997,11.14302501523915,-75.362530714234
4110.91789605249,0.117508706018682,10.72832880418884,-77.02284148826102
4351.095375619197,0.1354335042132786,10.34352186463353,-78.74928995626215
4605.305055086172,0.1538879267288182,9.918137047007395,-80.68252403533768
4874.36675583883,0.1285394751014968,9.524413723244699,-82.71379835903895
5159.148196748966,0.1973701927158562,9.057525806473327,-84.38255219206479
5460.567792551683,0.1436680745713106,8.719250545221492,-86.05298609431067
5779.597615715405,0.1510357699289933,8.267585079058859,-87.85751405355956
6117.266531357141,0.1767090560836694,7.801313344086484,-89.7454846314489
6474.663515312955,0.1314559378051463,7.424301637501757,-91.87006327739748
6852.941166064297,0.1692332591352959,6.959658232651377,-93.47769792600263
7253.319421846229,0.2057525381141351,6.46138820863867,-95.57558727578125
7677.08949492507,0.1166880882920262,6.123733367679442,-97.43621149982039
8125.618035733363,0.1675532685148879,5.638033704891368,-99.44019255262577
8600.351540291613,0.1673152700968799,5.180254184210319,-101.5327816557481
9102.821015130405,0.1582396082094428,4.719958025508862,-103.5811692632245
9634.646914757404,0.2020462180749436,4.266039355121266,-105.5222451483594
10197.54436759236,0.1452319878419145,3.837417112960031,-107.707653166952
10793.32870722362,0.1373380786334075,3.423288472329311,-110.2943802851672
11423.92132682452,0.1573237870645744,2.940770439653557,-112.3781797915791
12091.35587560979,0.1333283871180428,2.535378981065654,-114.7886296734139
12797.78481731564,0.1372264231546879,2.100761545094274,-116.6457605841883
13545.48637185448,0.1031899013354331,1.671683704526706,-120.1434136402507
14336.87186253071,0.1346473417191861,1.139698546881969,-122.4158517457727
15174.49349251265,0.1629739932015956,0.6840526092529828,-125.3859294991636
16061.05257563926,0.1319135116880898,0.5002148217047979,-127.1727008157948
16999.40824810587,0.1253847362886207,-0.8181149791920096,-131.1588831707785
17992.58668912415,0.08886236619956751,-0.6560049465272659,-134.3096029813449
